bank_txn_id,date,description,amount,currency,reference
B00001,2026-09-22,PAYMENT/Customer_001,46850.02,INR,UTR-X0000
B00002,2026-09-06,CREDIT SETTLEMENT Customer_008,30837.03,INR,UTR-800000002
B00003,2026-08-19,CREDIT SETTLEMENT Customer_015,54929.03,INR,UTR-X0002
B00004,2026-10-05,PAYMENT/Customer_022,59855.01,INR,UTR-800000004
B00005,2026-10-30,PAYMENT/Customer_029,62205.01,INR,UTR-X0004
B00006,2026-11-06,NEFT Customer_036,8221.0,INR,UTR-800000006
B00007,2026-10-30,PAYMENT/Customer_043,53365.02,INR,UTR-X0006
B00008,2026-09-07,NEFT Customer_050,7602.0,INR,UTR-800000008
B00009,2026-09-07,CREDIT SETTLEMENT Customer_057,54955.02,INR,UTR-X0008
B00010,2026-09-11,NEFT Customer_064,27146.03,INR,UTR-800000010
B00011,2026-08-06,NEFT Customer_071,15185.0,INR,UTR-X0010
B00012,2026-09-02,NEFT Customer_078,13954.03,INR,UTR-800000012
B00013,2026-09-03,PAYMENT/Customer_005,59716.02,INR,UTR-X0012
B00014,2026-10-06,CREDIT SETTLEMENT Customer_012,43575.01,INR,UTR-800000014
B00015,2026-08-27,CREDIT SETTLEMENT Customer_019,50693.03,INR,UTR-X0014
B00016,2026-09-30,PAYMENT/Customer_026,58419.01,INR,UTR-800000016
B00017,2026-09-26,CREDIT SETTLEMENT Customer_033,20435.01,INR,UTR-X0016
B00018,2026-09-11,CREDIT SETTLEMENT Customer_040,17844.02,INR,UTR-800000018
B00019,2026-10-05,CREDIT SETTLEMENT Customer_047,10044.01,INR,UTR-X0018
B00020,2026-09-11,PAYMENT/Customer_054,31110.0,INR,UTR-800000020
B00021,2026-10-08,PAYMENT/Customer_061,22513.03,INR,UTR-X0020
B00022,2026-08-24,NEFT Customer_068,68363.02,INR,UTR-800000022
B00023,2026-10-01,CREDIT SETTLEMENT Customer_075,5058.02,INR,UTR-X0022
B00024,2026-08-11,PAYMENT/Customer_002,65729.03,INR,UTR-800000024
B00025,2026-10-15,CREDIT SETTLEMENT Customer_009,6702.01,INR,UTR-X0024
B00026,2026-11-01,PAYMENT/Customer_016,58106.0,INR,UTR-800000026
B00027,2026-09-13,PAYMENT/Customer_023,47281.01,INR,UTR-X0026
B00028,2026-09-27,NEFT Customer_030,20836.02,INR,UTR-800000028
B00029,2026-08-14,PAYMENT/Customer_037,66963.03,INR,UTR-X0028
B00030,2026-08-29,NEFT Customer_044,67670.0,INR,UTR-800000030
B00031,2026-09-30,PAYMENT/Customer_051,57923.01,INR,UTR-X0030
B00032,2026-10-04,NEFT Customer_058,54083.01,INR,UTR-800000032
B00033,2026-10-13,CREDIT SETTLEMENT Customer_065,34010.0,INR,UTR-X0032
B00034,2026-08-29,CREDIT SETTLEMENT Customer_072,66748.0,INR,UTR-800000034
B00035,2026-09-24,PAYMENT/Customer_079,60719.03,INR,UTR-X0034
B00036,2026-08-31,NEFT Customer_006,35609.02,INR,UTR-800000036
B00037,2026-08-07,NEFT Customer_013,33146.0,INR,UTR-X0036
B00038,2026-10-17,PAYMENT/Customer_020,27275.03,INR,UTR-800000038
B00039,2026-09-02,NEFT Customer_027,54473.01,INR,UTR-X0038
B00040,2026-09-25,NEFT Customer_034,41765.0,INR,UTR-800000040
B00041,2026-08-13,NEFT Customer_041,45930.03,INR,UTR-X0040
B00042,2026-08-16,NEFT Customer_048,27167.02,INR,UTR-800000042
B00043,2026-08-04,PAYMENT/Customer_055,60680.0,INR,UTR-X0042
B00044,2026-10-06,NEFT Customer_062,42469.02,INR,UTR-800000044
B00045,2026-09-19,CREDIT SETTLEMENT Customer_069,10422.0,INR,UTR-X0044
B00046,2026-11-02,PAYMENT/Customer_076,62351.0,INR,UTR-800000046
B00047,2026-10-31,CREDIT SETTLEMENT Customer_003,46926.03,INR,UTR-X0046
B00048,2026-10-31,PAYMENT/Customer_010,25494.03,INR,UTR-800000048
B00049,2026-08-14,CREDIT SETTLEMENT Customer_017,65224.02,INR,UTR-X0048
B00050,2026-10-17,PAYMENT/Customer_024,38755.01,INR,UTR-800000050
B00051,2026-09-19,NET SETTLEMENT - FEES AGGREGATED,124261.67,INR,UTR-BATCH-000
B00052,2026-10-11,NET SETTLEMENT - FEES AGGREGATED,47402.45,INR,UTR-BATCH-001
B00053,2026-09-22,NET SETTLEMENT - FEES AGGREGATED,70646.07,INR,UTR-BATCH-002
B00054,2026-08-23,NET SETTLEMENT - FEES AGGREGATED,61631.67,INR,UTR-BATCH-003
B00055,2026-09-30,NET SETTLEMENT - FEES AGGREGATED,64587.18,INR,UTR-BATCH-004
B00056,2026-10-04,NET SETTLEMENT - FEES AGGREGATED,56927.46,INR,UTR-BATCH-005
B00057,2026-08-11,NET SETTLEMENT - FEES AGGREGATED,105595.38,INR,UTR-BATCH-006
B00058,2026-08-13,NET SETTLEMENT - FEES AGGREGATED,59550.81,INR,UTR-BATCH-007
B00059,2026-09-24,NET SETTLEMENT - FEES AGGREGATED,64866.74,INR,UTR-BATCH-008
B00060,2026-10-15,NET SETTLEMENT - FEES AGGREGATED,67140.77,INR,UTR-BATCH-009
B00061,2026-08-05,NET SETTLEMENT - FEES AGGREGATED,32040.24,INR,UTR-BATCH-010
B00062,2026-10-15,NET SETTLEMENT - FEES AGGREGATED,61199.69,INR,UTR-BATCH-011
B00063,2026-10-02,NET SETTLEMENT - FEES AGGREGATED,56683.11,INR,UTR-BATCH-012
B00064,2026-08-09,NET SETTLEMENT - FEES AGGREGATED,19842.8,INR,UTR-BATCH-013
