bank_txn_id,date,description,amount,currency,reference
B001,2026-08-03,Customer_01 PAYMENT E001,42905.0,INR,UTR00001000
B002,2026-08-04,Customer_02 PAYMENT E002,8296.0,INR,UTR00001001
B003,2026-08-05,Customer_03 PAYMENT E003,2639.0,INR,UTR00001002
B004,2026-08-06,Customer_04 PAYMENT E004,49598.0,INR,UTR00001003
B005,2026-08-07,Customer_05 PAYMENT E005,19024.0,INR,UTR00001004
B006,2026-08-08,Customer_06 PAYMENT E006,17049.0,INR,UTR00001005
B007,2026-08-09,Customer_07 PAYMENT E007,15628.0,INR,UTR00001006
B008,2026-08-10,Customer_08 PAYMENT E008,10144.0,INR,UTR00001007
B009,2026-08-11,Customer_09 PAYMENT E009,49265.0,INR,UTR00001008
B010,2026-08-12,Customer_10 PAYMENT E010,7717.0,INR,UTR00001009
B011,2026-08-13,Customer_11 PAYMENT E011,45348.0,INR,UTR00001010
B012,2026-08-14,Customer_12 PAYMENT E012,49540.0,INR,UTR00001011
B013,2026-08-15,Customer_13 PAYMENT E013,36741.0,INR,UTR00001012
B014,2026-08-16,Customer_14 PAYMENT E014,6697.0,INR,UTR00001013
B015,2026-08-17,Customer_15 PAYMENT E015,39698.0,INR,UTR00001014
B016,2026-08-18,Customer_16 PAYMENT E016,28651.0,INR,UTR00001015
B017,2026-08-19,Customer_17 PAYMENT E017,3082.0,INR,UTR00001016
B018,2026-08-20,Customer_18 PAYMENT E018,2952.0,INR,UTR00001017
B019,2026-08-21,Customer_19 PAYMENT E019,7140.0,INR,UTR00001018
B020,2026-08-22,Customer_20 PAYMENT E020,15328.0,INR,UTR00001019
B021,2026-08-23,Customer_21 PAYMENT E021,16247.0,INR,UTR00001020
B022,2026-08-24,Customer_22 PAYMENT E022,34118.0,INR,UTR00001021
B023,2026-08-25,Customer_23 PAYMENT E023,40453.0,INR,UTR00001022
B024,2026-08-26,Customer_24 PAYMENT E024,2739.0,INR,UTR00001023
B025,2026-08-27,Customer_25 PAYMENT E025,37781.0,INR,UTR00001024
B026,2026-08-28,Customer_26 PAYMENT E026,14031.0,INR,UTR00001025
B027,2026-08-29,Customer_27 PAYMENT E027,47925.0,INR,UTR00001026
B028,2026-08-30,Customer_28 PAYMENT E028,43590.0,INR,UTR00001027
B029,2026-08-03,Customer_29 PAYMENT E029,46962.0,INR,UTR00001028
B030,2026-08-04,Customer_30 PAYMENT E030,36713.0,INR,UTR00001029
B031,2026-08-05,Customer_01 PAYMENT E031,28493.0,INR,UTR00001030
B032,2026-08-06,Customer_02 PAYMENT E032,15446.0,INR,UTR00001031
B033,2026-08-07,Customer_03 PAYMENT E033,30439.0,INR,UTR00001032
B034,2026-08-08,Customer_04 PAYMENT E034,39618.0,INR,UTR00001033
B035,2026-08-09,Customer_05 PAYMENT E035,19231.0,INR,UTR00001034
B036,2026-08-10,Customer_06 PAYMENT E036,1425.0,INR,UTR00001035
B037,2026-08-11,Customer_07 PAYMENT E037,11463.0,INR,UTR00001036
B038,2026-08-12,Customer_08 PAYMENT E038,46753.0,INR,UTR00001037
B039,2026-08-13,Customer_09 PAYMENT E039,28696.0,INR,UTR00001038
B040,2026-08-14,Customer_10 PAYMENT E040,23298.0,INR,UTR00001039
B041,2026-08-18,Customer_11 BULK SETTLEMENT PAY0041,13626.0,INR,UTR00001040
B042,2026-08-18,Customer_12 BULK SETTLEMENT PAY0042,9188.0,INR,UTR00001041
B043,2026-08-20,Customer_13 BULK SETTLEMENT PAY0043,12327.0,INR,UTR00001042
B044,2026-08-20,Customer_14 BULK SETTLEMENT PAY0044,13516.0,INR,UTR00001043
B045,2026-08-22,Customer_15 BULK SETTLEMENT PAY0045,17935.0,INR,UTR00001044
B046,2026-08-22,Customer_16 BULK SETTLEMENT PAY0046,18312.0,INR,UTR00001045
B047,2026-08-24,Customer_17 BULK SETTLEMENT PAY0047,12537.0,INR,UTR00001046
B048,2026-08-24,Customer_18 BULK SETTLEMENT PAY0048,15847.0,INR,UTR00001047
B049,2026-08-26,Customer_19 BULK SETTLEMENT PAY0049,29357.0,INR,UTR00001048
B050,2026-08-26,Customer_20 BULK SETTLEMENT PAY0050,14609.0,INR,UTR00001049
B051,2026-08-28,Customer_21 BULK SETTLEMENT PAY0051,15723.0,INR,UTR00001050
B052,2026-08-28,Customer_22 BULK SETTLEMENT PAY0052,10474.0,INR,UTR00001051
B053,2026-08-30,Customer_23 BULK SETTLEMENT PAY0053,9775.0,INR,UTR00001052
B054,2026-08-30,Customer_24 BULK SETTLEMENT PAY0054,12781.0,INR,UTR00001053
B055,2026-09-01,Customer_25 BULK SETTLEMENT PAY0055,26820.0,INR,UTR00001054
B056,2026-09-01,Customer_26 BULK SETTLEMENT PAY0056,10729.0,INR,UTR00001055
B057,2026-08-06,Customer_27 BULK SETTLEMENT PAY0057,23232.0,INR,UTR00001056
B058,2026-08-06,Customer_28 BULK SETTLEMENT PAY0058,16991.0,INR,UTR00001057
B059,2026-08-08,Customer_29 BULK SETTLEMENT PAY0059,24552.0,INR,UTR00001058
B060,2026-08-08,Customer_30 BULK SETTLEMENT PAY0060,13554.0,INR,UTR00001059
B061,2026-08-07,Customer_01 PARTIAL PAYMENT E091,11021.0,INR,UTR00001060
B062,2026-08-08,Customer_01 PARTIAL PAYMENT E091,51763.0,INR,UTR00001061
B063,2026-08-08,Customer_02 PARTIAL PAYMENT E092,10573.0,INR,UTR00001062
B064,2026-08-09,Customer_02 PARTIAL PAYMENT E092,6108.0,INR,UTR00001063
B065,2026-08-10,Customer_02 PARTIAL PAYMENT E092,9027.0,INR,UTR00001064
B066,2026-08-09,Customer_03 PARTIAL PAYMENT E093,13485.0,INR,UTR00001065
B067,2026-08-10,Customer_03 PARTIAL PAYMENT E093,19206.0,INR,UTR00001066
B068,2026-08-10,Customer_04 PARTIAL PAYMENT E094,21250.0,INR,UTR00001067
B069,2026-08-11,Customer_04 PARTIAL PAYMENT E094,10196.0,INR,UTR00001068
B070,2026-08-12,Customer_04 PARTIAL PAYMENT E094,28653.0,INR,UTR00001069
