invoice_id,invoice_date,customer,document_type,gross_amount,currency,status,invoice_ref
E0001,2026-07-26,Customer_08,INVOICE,5024.0,INR,OPEN,INV-00001
E0002,2026-08-01,Customer_15,INVOICE,7599.0,INR,OPEN,INV-00002
E0003,2026-08-17,Customer_22,INVOICE,20046.0,INR,OPEN,INV-00003
E0004,2026-07-18,Customer_29,INVOICE,7568.0,INR,OPEN,INV-00004
E0005,2026-08-01,Customer_36,INVOICE,10038.0,INR,OPEN,INV-00005
E0006,2026-07-02,Customer_43,INVOICE,12034.0,INR,OPEN,INV-00006
E0007,2026-07-31,Customer_50,INVOICE,10073.0,INR,OPEN,INV-00007
E0008,2026-08-21,Customer_07,INVOICE,12071.0,INR,OPEN,INV-00008
E0009,2026-07-28,Customer_14,INVOICE,10005.0,INR,OPEN,INV-00009
E0010,2026-07-02,Customer_21,INVOICE,12032.0,INR,OPEN,INV-00010
E0011,2026-08-04,Customer_28,INVOICE,12035.0,INR,OPEN,INV-00011
E0012,2026-07-04,Customer_35,INVOICE,15064.0,INR,OPEN,INV-00012
E0013,2026-08-14,Customer_42,INVOICE,12092.0,INR,OPEN,INV-00013
E0014,2026-08-05,Customer_49,INVOICE,7536.0,INR,OPEN,INV-00014
E0015,2026-07-09,Customer_06,INVOICE,15009.0,INR,OPEN,INV-00015
E0016,2026-08-11,Customer_13,INVOICE,5026.0,INR,OPEN,INV-00016
E0017,2026-07-29,Customer_20,INVOICE,7560.0,INR,OPEN,INV-00017
E0018,2026-08-19,Customer_27,INVOICE,15045.0,INR,OPEN,INV-00018
E0019,2026-08-22,Customer_34,INVOICE,5058.0,INR,OPEN,INV-00019
E0020,2026-07-12,Customer_41,INVOICE,5052.0,INR,OPEN,INV-00020
E0021,2026-08-23,Customer_48,INVOICE,5070.0,INR,OPEN,INV-00021
E0022,2026-07-09,Customer_05,INVOICE,20072.0,INR,OPEN,INV-00022
E0023,2026-07-08,Customer_12,INVOICE,10020.0,INR,OPEN,INV-00023
E0024,2026-07-03,Customer_19,INVOICE,12027.0,INR,OPEN,INV-00024
E0025,2026-07-13,Customer_26,INVOICE,20079.0,INR,OPEN,INV-00025
E0026,2026-08-02,Customer_33,INVOICE,20047.0,INR,OPEN,INV-00026
E0027,2026-08-06,Customer_40,INVOICE,20045.0,INR,OPEN,INV-00027
E0028,2026-07-09,Customer_47,INVOICE,20048.0,INR,OPEN,INV-00028
E0029,2026-08-25,Customer_04,INVOICE,20015.0,INR,OPEN,INV-00029
E0030,2026-08-20,Customer_11,INVOICE,12002.0,INR,OPEN,INV-00030
E0031,2026-07-27,Customer_18,INVOICE,15017.0,INR,OPEN,INV-00031
E0032,2026-07-11,Customer_25,INVOICE,20070.0,INR,OPEN,INV-00032
