case_id,expected_status,pattern,bank_transaction_ids,erp_invoice_ids,gateway_transaction_ids,expected_bank_total,expected_erp_gross_total,expected_gateway_net_total,notes
C001,MATCHED,1:1_EXACT,B0001,E0001,G0001,5024.0,5024.0,5024.0,Exact amount with realistic posting-date drift.
C002,MATCHED,1:1_EXACT,B0002,E0002,G0002,7599.0,7599.0,7599.0,Exact amount with realistic posting-date drift.
C003,MATCHED,1:1_EXACT,B0003,E0003,G0003,20046.0,20046.0,20046.0,Exact amount with realistic posting-date drift.
C004,MATCHED,1:1_EXACT,B0004,E0004,G0004,7568.0,7568.0,7568.0,Exact amount with realistic posting-date drift.
C005,MATCHED,1:1_EXACT,B0005,E0005,G0005,10038.0,10038.0,10038.0,Exact amount with realistic posting-date drift.
C006,MATCHED,1:1_EXACT,B0006,E0006,G0006,12034.0,12034.0,12034.0,Exact amount with realistic posting-date drift.
C007,MATCHED,1:1_EXACT,B0007,E0007,G0007,10073.0,10073.0,10073.0,Exact amount with realistic posting-date drift.
C008,MATCHED,1:1_EXACT,B0008,E0008,G0008,12071.0,12071.0,12071.0,Exact amount with realistic posting-date drift.
C009,MATCHED,1:1_EXACT,B0009,E0009,G0009,10005.0,10005.0,10005.0,Exact amount with realistic posting-date drift.
C010,MATCHED,1:1_EXACT,B0010,E0010,G0010,12032.0,12032.0,12032.0,Exact amount with realistic posting-date drift.
C011,MATCHED,1:1_EXACT,B0011,E0011,G0011,12035.0,12035.0,12035.0,Exact amount with realistic posting-date drift.
C012,MATCHED,1:1_EXACT,B0012,E0012,G0012,15064.0,15064.0,15064.0,Exact amount with realistic posting-date drift.
C013,MATCHED,1:1_EXACT,B0013,E0013,G0013,12092.0,12092.0,12092.0,Exact amount with realistic posting-date drift.
C014,MATCHED,1:1_EXACT,B0014,E0014,G0014,7536.0,7536.0,7536.0,Exact amount with realistic posting-date drift.
C015,MATCHED,1:1_EXACT,B0015,E0015,G0015,15009.0,15009.0,15009.0,Exact amount with realistic posting-date drift.
C016,MATCHED,1:1_EXACT,B0016,E0016,G0016,5026.0,5026.0,5026.0,Exact amount with realistic posting-date drift.
C017,MATCHED,1:1_EXACT,B0017,E0017,G0017,7560.0,7560.0,7560.0,Exact amount with realistic posting-date drift.
C018,MATCHED,1:1_EXACT,B0018,E0018,G0018,15045.0,15045.0,15045.0,Exact amount with realistic posting-date drift.
C019,MATCHED,1:1_EXACT,B0019,E0019,G0019,5058.0,5058.0,5058.0,Exact amount with realistic posting-date drift.
C020,MATCHED,1:1_EXACT,B0020,E0020,G0020,5052.0,5052.0,5052.0,Exact amount with realistic posting-date drift.
